channel_id,channel_title,playlist_id,video_id,category_id,published_at,title,description,thumbnail,view_count,like_count,favorite_count,comment_count,tags
UCBOzp8_xaUUrIvQQr0x0bKw,Paul Oluikpe,,I-3D3pFNet8,22,2017-02-26T22:11:37Z,My Helper Remix-Dr. Paul & Soul Solace ft Asu Ekiye (prod. Gospelonthebeats),"My Helper Remix by Dr. Paul and Soul Solace featuring Asu Ekiye and produced by Gospelonthebeats. 

Download Audio: https://my.notjustok.com/track/download/id/111159

LYRICS BELOW
There is something that makes me come into your presence
My helper (2x)

Baba you be my melody
Baba na you be my help
Baba na you be oyoyo
Baba na you be sugarcane
Aya baba baba
Baba Baba shikena
Egbe puta kanyi rie nri o
Baba go provide

Rap 1
Baba God ibukwanu my helper
Maka na ibukwanu ezigbo ezege
Nihi na itiwago the meeting
Ebe ha no naku the beating
Erijugomu nagu na millions
Am a legend in the making ina nukwa.
Why everybody go just dey para
Maka netiwagom the protocol
Ima nenweghikwam any rubicon.
Ichokwa mtinye isi na your party
Imakwa nam gabia with Bugatti. 
Osetigo mtinye aka na pocket
Wetupa ego we tinye na bucket.
Owe gi iwe nwanne see transformer
Oso gi owe gi I don hammer
Maka Chukwu na him be my helper
There is something that makes me come into your presence
My helper (2x)
.
Baba you be my harmony
Baba you give me the strength
Make I endure to the end
Baba you always my friend
Ogologo longu john oo
Baba you tallu de reach
Baba na you dey reign 
Oyoyo nwannem

Rap 2
Baba God ibuligo my level
All my friends ha nile go dey marvel
Eh no easy shebi you be wan try
Am a plant by the stream so I no dey dry
Ekuligomu we jee na yonder
Ndiromu na so so dey wonder
Akalakamu sikwa na chukwu
Ah mnaguzi na puku
Oru nomume boys dey scatter
As you see me na me be the matter
If you looku your right I dey swagger
If you looku your left I dey swagger
So ma guy na who come be the magga
As I dey baba God na my helper",https://i.ytimg.com/vi/I-3D3pFNet8/default.jpg,60829.0,281.0,0,6.0,"my helper,my helper nigerian song,my helper lyrics,my helper dr paul,my helper dr.paul,ft asu ekiye,gospelonthebeats,dr paul and soul solace,soul solace,dr paul,dr.paul,my helper o,my helper remix"
UCOBMhI7TtRLTAGpcTjNvYCw,Afrique Média,,5Vo0rkjLjmI,25,2022-09-25T18:00:08Z,"EDITION SPECIALE: DISCOUR DU PREMIER MINISTRE MALIEN ABDOULAYE À LA TRIBUNE DE L'ONU, HISTORIQUE !","#Afriquemedia #Panafricanisme #News #FCFA #Poutine  #russie
Abonnez-vous à notre chaîne  YouTube ICI  : https://cutt.ly/tkMlQhi
Nous soutenir : https://www.paypal.com/biz/fund?id=XQKGXFFCQHAHS
La chaine en  DIRECT - Suivez Afrique Média ici : https://cutt.ly/zkVHQOA

👉🏽 Visitez notre site web : https://www.afriquemedia.tv/​ 
👉🏽 Page Facebook: https://www.facebook.com/afriquemedia
👉🏽 Suivez-nous sur Twitter: https://twitter.com/afriquemedia
👉🏽 Suivez-nous sur Instagram: https://instagr.am/afrique_media",https://i.ytimg.com/vi/5Vo0rkjLjmI/default.jpg,112823.0,2428.0,0,316.0,"afrique media,banda,kani,panafricanisme,cameroun,cote,divoire,afrique,actualité,débats,BBC,CGTN,CNN,CCTV,CRTV,EQUINOXTV,AFRICA,france24,F24,Africanews,Africa24,panafricain,debat,forum,societé,documentaire,France,rfi,fox,foxnews,a24,a24news,AJ+,aljazeera,senegal,independance,deby,gbagbo,khadaffi,sankara,thomas,ble goude,macron,bbcnews,CNBC,Kemiseba,Deby,Barkhane,BOLORE,poutine,ukraine,russie,vladimir,usa"
UCiNat9YMf9vjAOlTelVm3Zw,SingularityU Greece,,56EQ-0b5DSA,28,2020-11-24T20:31:48Z,UNLEARN Day 2 - SingularityU Summit Greece 2020,"Day 2 highlights of SingularityU Summit 2020.
#unlearn #sugreece",https://i.ytimg.com/vi/56EQ-0b5DSA/default.jpg,568.0,10.0,0,2.0,
UCNytx_B---L_P2tmD5Nr5zQ,Arrels de Gràcia,,i3aX3JUpxUA,22,2022-03-11T16:00:14Z,Lloraré - Arrels de Gràcia (Video Oficial),"Arrels de Gràcia presenta su nuevo single Lloraré. 

Mezcla de la tradicional rumba catalana, con sonidos tropicales y mucho color. 

Made in Gràcia. 


Letra y Voz: Jonatan Ximenis
Músicos: Climent Campà, Roger Herrero, Pito Rosas, Gino Jiménez
Director: Eduardo Rosales
Producción : Estibalitz Girón & Bárbara Pérez
Arte: Federica Encinoza 
Producción Ejecutiva: El Caribe Productions 

Agradecimientos: Dr. Resin Live Sessions



Más de Arrels de Gràcia

INSTAGRAM: https://instagram.com/arrels_de_gracia?utm_medium=copy_link

FACEBOOK: https://www.facebook.com/arrelsdegracia

SPOTIFY: https://open.spotify.com/artist/7KbbIXxEMGGbK0bvCWUnIa?si=2ZvrmQbZQoqmhUbLXHE3eQ",https://i.ytimg.com/vi/i3aX3JUpxUA/default.jpg,15680.0,152.0,0,29.0,
UCsT7T56IgqldMlXn3SBGb0w,Mixalis Mytilinos,,e2tb5iFdgN0,10,2013-05-29T22:02:21Z,Opisthodromiki kompania - Koita Mixali mou,"Opisthodromiki kompania - Koita Mixali mou
By Mixalis",https://i.ytimg.com/vi/e2tb5iFdgN0/default.jpg,4353.0,36.0,0,0.0,
UCI0ChaFpaG6bOVeoybYwVbA,POCASPULGASYO,,6c6kxs2Pp1g,10,2011-01-28T03:14:43Z,PARA UN AMIGO . LAURA PAUSINI (LA AMISTAD),"La amistad es algo que atraviesa el alma,
Es un sentimiento que no se te va
No te digo cómo, pero ocurre justo
Cuando dos personas van volando juntos
Suben a lo alto sobre la otra gente,
Como dando un salto en la inmensidad Y no habrá distancia No la habrá
Ni desconfianza, si te quedas en mi corazón,
Ya siempre
Porque en cada sitio que estés,
Porque en cada sitio que esté,
En las cosas que vives, yo también viviré
Porque en cada sitio que estés,
Nos encontraremos unidos
Uno en brazos del otro, es el destino

En la misma calle, bajo el mismo cielo,
Aunque todo cambie no nos perderemos
Abre bien los brazos mándame un aviso,
No te queda duda, yo te encontraré No estarás ya solo Yo estaré
Continuando el vuelo que
Te lleve con mi corazón,
Ya siempre

Porque en cada sitio que estés,
Porque en cada sitio que esté,
En las cosas que vives, yo también viviré
Porque en cada sitio que estés,
No nos queda más que un camino,
Solo habrá dos amigos, tan unidos

Cree en mí, no te atrevas a dudar,
Todas las cosas que vives
Si son sinceras como tú, y yo,
Sabes tú, que jamás terminarán

Porque en cada sitio que estés,
Porque en cada sitio que esté,
En las cosas que vives, yo también viviré

Porque en cada sitio que estés,
Que esté, porque en cada sitio que esté,
Y que esté
Tú me llevas contigo dentro del corazón
Porque en cada sitio que estés,
Nos encontraremos unidos,
Uno en brazos del otro,
Es el destino
Es el destino
Porque en cada sitio que estés,
Porque en cada sitio que esté,
En las cosas que vives,
Yo también viviré

laura pausini la amistad .. a un amigo",https://i.ytimg.com/vi/6c6kxs2Pp1g/default.jpg,1909676.0,11590.0,0,131.0,"la,amistad,laura,pausini,sadeeidi,lincesei,Berenguela,lunasolestrellas2,warnermusiclatina,Nat9101,mctinagil,muellebarboza,Wildergp,RichardxAstur,seca12forever,pawer069,javieryling,pintadita,UltraRecords,TheHearth,despeke,maricuxaax,ronaldpizarro,gersino12,lizet11,anniebonita,gabrielasosa2904,sexo,hot,amor,desnudos"
UCGzAsl2oMcCZX5Xq_q5dI1w,Yazoo - Topic,,l31UQ2h0EG0,10,2021-07-21T10:09:44Z,Don't Go (Remix) (2018 - Remaster),"Provided to YouTube by BMG Rights Management (UK) Limited

Don't Go (Remix) (2018 - Remaster) · Yazoo · Yazoo

Four Pieces

℗ 2018 Mute Records Ltd., a BMG Company

Released on: 2018-10-26

Producer: Yazoo
Producer: Eric Radcliffe
Vocals: Alison Moyet
Keyboards: Vince Clarke
Composer: Vince Clarke

Auto-generated by YouTube.",https://i.ytimg.com/vi/l31UQ2h0EG0/default.jpg,78735.0,1244.0,0,3.0,"Yazoo,Four Pieces,Don't Go"
UCQTD2Ck_oYXBXxfWTAIGp9Q,Tim Langley,,0pVfJfOrHjg,22,2010-09-29T13:41:16Z,Why $69 a month for unlimited chiropractic care.,"http://www.langleychiropractic.com Why $69 a month for unlimited chiropractic care? It's about YOUR need not my fee. http://screenr.com/k14

770-509-4805

2265 Roswell Road
Marietta, GA  30062

$69/month Unlimited Care membership.  $129/month for families.",https://i.ytimg.com/vi/0pVfJfOrHjg/default.jpg,952.0,5.0,0,1.0,"unlimited chiropractic,Marietta,chiropractor,migraines,HBP,IBS,ADD,ADHD,acid reflux,insomnia,narcolepsy,affordable,$69,Membership Practice,East Cobb,Cobb County,depression,hypertension,anxiety,bipolar"
UCyFdTSovqBugzYRa7hV0nAQ,Gobernación Zulia,,VVx-kUTukyA,1,2016-02-04T15:45:16Z,Con el Gobernador Bolivariano Arias Cárdenas #GobernarEsHacer (04/02/2016) Versión 2,#GobernarEsHacer 37,https://i.ytimg.com/vi/VVx-kUTukyA/default.jpg,80.0,0.0,0,0.0,
UC7dSUcd_wCF226p9U9qVKYw,Léo Time,,XNXcR4_tyxg,26,2018-04-23T16:00:03Z,J'AI UNE ANNONCE A VOUS FAIRE,"Dans cette vidéo, on parle d'une nouvelle qui devrait te plaire !

Reçois une heure de formation 100 % gratuite sur le sommeil polyphasique : http://leo-time.fr/vers-spg-2

Accède à mes formations sur le sommeil polyphasique :
version STANDARD : http://leo-time.fr/vers-standard 
version PREMIUM : http://leo-time.fr/vers-ssp 

RETROUVE TOUTES MES FORMATIONS : http://leo-time.fr/toutes-mes-formations 

Réponds à mes sondages pour gagner plein de cadeaux : http://leo-time.fr/sondages-nouveaux 

Le temps... Cette chose qui nous manque à tous... 

T'es peut-être en étudiant, un jeune actif, un entrepreneur, un sportif, un artiste. Mais peu importe car tu as un problème, c'est que tu manques de temps. T aimerais passer plus de temps sur tes projets tout en restant très proche de ta famille, de tes amis mais tu n'y arrives pas. Tu penses qu'il n'y a pas de solution mais je te trompes ! 

Je m'appelle Léo Time. Je suis étudiant en sciences, je passe deux heures par jour dans les transports, je suis également entrepreneur du web, un grand sportif et surtout un amoureux de ma famille mais aussi de mes soirées entre amis. Bref tu l'as compris, je fais beaucoup de choses et bien sûr comme toi j'ai
rencontré énormément de difficultés pour faire tout ce que je voulais. J'ai énormément galéré pendant des mois, des années pour m'organiser, automatiser rapidement, simplement et efficacement mon quotidien. 

Je ne veux pas que tu subisses les mêmes galères que moi. J'ai
créé mon blog et cette chaîne Youtube pour t'aider à enfin avoir du temps. Ensemble, chaque mois, on va expérimenter de nouvelles choses pour améliorer ton quotidien. 

Je te propose donc un pacte : tu montres ma chaîne YouTube à au moins un ami qui a toujours un manque de temps (on a tous un ami qui manque de temps), tu t'abonnes maintenant à cette chaîne YouTube et en échange, JE TRANSFORME TA VIE ! 

Donc abonne-toi à la chaîne YouTube pour ne rien manquer des vidéos: http://urlz.fr/6OVB

Retrouve-moi également sur les réseaux sociaux :
-je suis très actif sur INSTAGRAM : @leotime1
-j'ai aussi un compte twitter ( @TimeLeo ) et un compte facebook (Léo Time)

No copyright music

-Epic Glory- licence Standard- I have right to use this sound
-Alan Walker - Fade [NCS Release] https://www.youtube.com/watch?v=bM7SZ5SBzyY
-Alan Walker - Spectre [NCS Release] https://www.youtube.com/watch?v=AOeY-nDp7hI
-Alan Walker - Force [NCS Release] https://www.youtube.com/watch?v=xshEZzpS4CQ
-Elektronomia - Sky High [NCS Release] https://www.youtube.com/watch?v=TW9d8vYrVFQ
-Elektronomia - Energy [NCS Release]  https://www.youtube.com/watch?v=fzNMd3Tu1Zw
-Elektronomia - Vitality [NCS Release] https://www.youtube.com/watch?v=IS9azbb9hSA
-Epic cinematic music : https://www.youtube.com/c/NCMEpicMusic  Inspiration: By Ender Güney- Official Soundtrack / 
Music by Hans Zimmer & Tom Holkenborg a.k.a JUNKIE XL Description: https://www.youtube.com/c/NCMEpicMusic Inspiration: By Ender Güney
-Hip Hop Rap Instrumental (Crying Over You) by Chris Morrow 4 https://soundcloud.com/chris-morrow-3Creative Commons — Attribution 3.0 Unported— CC BY 3.0http://creativecommons.org/licenses/b...Music promoted by Audio Library https://youtu.be/hiYs5z4xdBU


Je te souhaite un agréable visionnage !!!",https://i.ytimg.com/vi/XNXcR4_tyxg/default.jpg,35.0,,0,0.0,"léo time,leo time,dormir 4 heures par nuit,dormir 2 heures par nuit,dormir 3 heures par nuit,dormir 5 heures par nuit,dormir 7 heures par nuit,dormir 6 heures par nuit,dormir 1 heure par nuit,sommeil polyphasique,comment dormir mieux,comment moins dormir,comment dormir peu,30 jours,défi,1 mois,comment peu dormir,comment gérer mon temps,dormir 8 heures par nuit,annonce,très importante,importante,version standard,j ai une annonce a vous faire"
